Entropy,Avg_time_gap,ID_Count
299,0.033779264,10
294,0.034353741,9
292,0.034589041,16
311,0.032475884,16
267,0.037827715,16
310,0.032580645,11
269,0.037546468,11
259,0.038996139,10
296,0.034121622,18
273,0.036996337,9
306,0.033006536,14
552,0.018297101,11
483,0.020910973,15
640,0.01578125,16
345,0.029275362,15
269,0.037546468,9
300,0.033666667,10
290,0.034827586,8
336,0.030059524,13
282,0.035815603,12
305,0.033114754,10
290,0.034827586,13
278,0.036330935,18
273,0.036996337,14
330,0.030606061,19
262,0.038549618,10
271,0.037269373,11
274,0.036861314,10
321,0.031464174,17
412,0.024514563,9
433,0.023325635,6
132,0.039393939,3
652,0.015337423,11
646,0.015634675,11
684,0.014766082,20
371,0.02722372,17
286,0.035314685,12
365,0.027671233,9
313,0.032268371,12
287,0.035191638,11
290,0.034827586,8
301,0.033554817,4
313,0.032268371,21
305,0.033114754,10
287,0.035191638,9
281,0.03594306,14
446,0.02264574,13
342,0.029532164,11
319,0.031661442,25
269,0.037546468,14
311,0.032475884,19
535,0.018878505,9
779,0.01296534,8
491,0.020570265,10
343,0.029446064,7
298,0.033892617,4
313,0.032268371,28
254,0.03976378,19
259,0.038996139,8
299,0.033779264,13
308,0.032792208,17
266,0.037969925,16
293,0.035153584,9
264,0.038257576,4
303,0.033333333,4
300,0.033666667,21
336,0.030059524,15
267,0.037827715,14
380,0.026578947,13
541,0.018669131,16
341,0.029618768,12
320,0.0315625,21
334,0.030239521,9
320,0.0315625,11
314,0.032165605,11
297,0.034006734,17
337,0.029970326,10
278,0.036330935,12
289,0.035294118,6
345,0.029275362,9
353,0.028611898,4
339,0.02979351,6
291,0.034707904,5
331,0.030513595,6
324,0.03117284,24
537,0.018808194,22
432,0.02337963,8
432,0.02337963,15
294,0.034353741,8
279,0.036200717,16
293,0.03447099,13
362,0.027900552,14
295,0.034237288,8
273,0.036996337,4
534,0.019101124,6
482,0.020954357,19
557,0.018491921,10
519,0.019460501,13
351,0.028774929,18
470,0.021489362,22
495,0.02040404,13
343,0.029446064,18
334,0.030239521,10
333,0.030930931,11
309,0.032686084,10
329,0.030699088,18
311,0.032475884,8
348,0.029022989,13
319,0.031661442,9
319,0.031661442,15
312,0.032371795,17
328,0.030182927,16
315,0.032380952,6
342,0.029532164,15
316,0.031962025,11
322,0.03136646,15
621,0.01626409,10
373,0.027077748,13
314,0.032165605,7
292,0.034589041,4
323,0.03126935,16
340,0.029705882,36
335,0.030149254,9
312,0.032371795,12
280,0.036071429,16
278,0.036330935,17
268,0.037686567,11
301,0.033554817,4
388,0.026030928,5
290,0.034827586,18
340,0.030294118,11
286,0.035314685,15
333,0.03033033,19
552,0.018297101,14
530,0.019056604,12
346,0.029190751,9
296,0.034121622,7
364,0.027747253,6
448,0.022098214,18
260,0.039230769,14
294,0.034353741,14
307,0.032899023,18
301,0.033554817,7
279,0.036200717,12
307,0.032899023,5
285,0.035438596,6
384,0.027083333,23
358,0.028212291,14
446,0.02264574,10
648,0.01558642,13
276,0.036594203,4
296,0.034121622,11
331,0.030513595,38
357,0.028291317,12
288,0.035069444,11
257,0.039299611,17
269,0.037546468,10
302,0.033443709,13
273,0.036996337,10
299,0.033779264,14
335,0.030149254,11
328,0.030792683,22
303,0.033333333,8
314,0.032165605,13
288,0.035069444,11
325,0.031076923,17
526,0.019201521,12
528,0.019128788,15
307,0.032899023,8
292,0.034589041,14
290,0.034827586,17
350,0.028857143,16
321,0.031464174,7
310,0.032580645,9
299,0.033779264,14
312,0.032371795,17
290,0.034827586,11
299,0.033779264,11
310,0.032580645,4
316,0.031962025,4
337,0.029970326,25
297,0.034006734,15
325,0.031076923,10
360,0.028055556,11
543,0.018600368,12
409,0.024694377,17
296,0.034121622,8
306,0.033006536,12
321,0.031464174,12
329,0.030699088,14
301,0.033554817,15
343,0.029446064,18
289,0.034948097,9
301,0.033554817,14
310,0.032580645,11
324,0.03117284,5
339,0.02979351,7
345,0.029275362,18
322,0.03136646,8
308,0.032792208,13
341,0.029618768,16
619,0.01631664,19
487,0.02073922,8
311,0.032475884,12
298,0.033892617,9
308,0.032792208,15
331,0.030513595,8
319,0.031661442,14
301,0.033554817,14
293,0.03447099,15
306,0.033006536,16
311,0.032475884,15
307,0.032899023,8
312,0.032371795,15
304,0.033223684,10
318,0.031761006,18
293,0.03447099,6
289,0.034948097,4
531,0.019020716,5
433,0.023325635,25
324,0.03117284,15
325,0.031076923,16
314,0.032165605,8
296,0.034121622,11
292,0.034589041,10
290,0.034827586,6
299,0.033779264,5
314,0.032165605,20
303,0.033333333,9
290,0.034827586,16
300,0.033666667,15
326,0.030981595,16
298,0.033892617,10
308,0.032792208,12
304,0.033223684,11
799,0.012640801,20
999,0.01011011,16
336,0.030059524,11
316,0.031962025,5
317,0.031861199,22
315,0.032063492,14
340,0.029705882,16
302,0.033443709,10
308,0.032792208,13
319,0.031661442,11
295,0.034237288,15
289,0.034948097,9
338,0.029881657,11
308,0.032792208,9
315,0.032063492,14
292,0.034589041,4
275,0.036727273,4
789,0.012801014,31
516,0.019573643,18
292,0.034589041,10
338,0.029881657,19
282,0.035815603,5
314,0.032165605,8
312,0.032371795,24
315,0.032063492,16
302,0.033443709,14
328,0.030792683,23
291,0.034707904,15
314,0.032165605,15
288,0.035069444,7
304,0.033223684,4
313,0.032268371,6
304,0.033223684,14
328,0.030792683,8
765,0.013202614,21
517,0.019535783,27
311,0.032475884,20
328,0.030792683,11
290,0.034827586,12
300,0.033666667,10
328,0.030792683,21
302,0.033443709,10
301,0.033554817,11
360,0.028055556,10
311,0.032475884,14
328,0.030792683,13
306,0.033006536,7
293,0.03447099,4
304,0.033223684,5
298,0.033892617,25
307,0.032899023,15
477,0.021174004,11
521,0.019385797,11
321,0.031464174,4
312,0.032371795,15
318,0.031761006,23
329,0.030699088,20
306,0.033006536,6
319,0.031661442,6
269,0.037546468,7
322,0.03136646,21
283,0.035689046,9
302,0.033443709,10
292,0.034589041,8
277,0.036462094,15
301,0.033554817,13
297,0.034006734,16
299,0.033779264,8
306,0.033006536,15
478,0.021129707,11
545,0.01853211,18
296,0.034121622,9
275,0.036727273,14
302,0.033443709,9
316,0.031962025,14
295,0.034237288,5
327,0.03088685,5
303,0.033333333,26
284,0.03556338,11
308,0.032792208,12
297,0.034006734,28
303,0.033333333,9
292,0.034589041,14
300,0.033666667,9
277,0.036462094,15
317,0.031861199,17
348,0.029022989,16
336,0.030059524,7
753,0.013413015,19
349,0.028939828,11
304,0.033223684,17
276,0.036594203,8
287,0.035191638,4
314,0.032165605,7
313,0.032268371,22
281,0.03594306,16
300,0.033666667,20
297,0.034006734,10
303,0.033333333,11
279,0.036200717,10
317,0.031861199,17
295,0.034237288,10
275,0.036727273,11
294,0.034353741,10
311,0.032475884,16
318,0.031761006,13
800,0.012625,19
352,0.028693182,8
289,0.034948097,5
275,0.036727273,7
272,0.037132353,7
313,0.032268371,4
333,0.03033033,5
281,0.03594306,3
307,0.032899023,4
301,0.033554817,13
331,0.030513595,36
304,0.033223684,22
294,0.034353741,12
290,0.034827586,9
321,0.031464174,20
281,0.03594306,14
309,0.032686084,12
321,0.031464174,8
847,0.011924439,21
792,0.012752525,19
484,0.020867769,19
292,0.034589041,10
291,0.034707904,12
272,0.037132353,9
309,0.032686084,18
309,0.032686084,8
299,0.033779264,10
294,0.034353741,9
292,0.034589041,16
311,0.032475884,16
267,0.037827715,16
310,0.032580645,11
269,0.037546468,11
259,0.038996139,10
296,0.034121622,18
273,0.036996337,9
306,0.033006536,14
552,0.018297101,11
483,0.020910973,15
640,0.01578125,16
345,0.029275362,15
269,0.037546468,9
300,0.033666667,10
290,0.034827586,8
336,0.030059524,13
282,0.035815603,12
305,0.033114754,10
290,0.034827586,13
278,0.036330935,18
273,0.036996337,14
330,0.030606061,19
262,0.038549618,10
271,0.037269373,11
274,0.036861314,10
321,0.031464174,17
412,0.024514563,9
433,0.023325635,6
132,0.039393939,3
652,0.015337423,11
646,0.015634675,11
684,0.014766082,20
371,0.02722372,17
286,0.035314685,12
365,0.027671233,9
313,0.032268371,12
287,0.035191638,11
290,0.034827586,8
301,0.033554817,4
313,0.032268371,21
305,0.033114754,10
287,0.035191638,9
281,0.03594306,14
446,0.02264574,13
342,0.029532164,11
319,0.031661442,25
269,0.037546468,14
311,0.032475884,19
535,0.018878505,9
779,0.01296534,8
491,0.020570265,10
343,0.029446064,7
298,0.033892617,4
313,0.032268371,28
254,0.03976378,19
259,0.038996139,8
299,0.033779264,13
308,0.032792208,17
266,0.037969925,16
293,0.035153584,9
264,0.038257576,4
303,0.033333333,4
300,0.033666667,21
336,0.030059524,15
267,0.037827715,14
380,0.026578947,13
541,0.018669131,16
341,0.029618768,12
320,0.0315625,21
334,0.030239521,9
320,0.0315625,11
314,0.032165605,11
297,0.034006734,17
337,0.029970326,10
278,0.036330935,12
289,0.035294118,6
345,0.029275362,9
353,0.028611898,4
339,0.02979351,6
291,0.034707904,5
331,0.030513595,6
324,0.03117284,24
537,0.018808194,22
432,0.02337963,8
432,0.02337963,15
294,0.034353741,8
279,0.036200717,16
293,0.03447099,13
362,0.027900552,14
295,0.034237288,8
273,0.036996337,4
534,0.019101124,6
482,0.020954357,19
557,0.018491921,10
519,0.019460501,13
351,0.028774929,18
470,0.021489362,22
495,0.02040404,13
343,0.029446064,18
334,0.030239521,10
333,0.030930931,11
309,0.032686084,10
329,0.030699088,18
311,0.032475884,8
348,0.029022989,13
319,0.031661442,9
319,0.031661442,15
312,0.032371795,17
328,0.030182927,16
315,0.032380952,6
342,0.029532164,15
316,0.031962025,11
322,0.03136646,15
621,0.01626409,10
373,0.027077748,13
314,0.032165605,7
292,0.034589041,4
323,0.03126935,16
340,0.029705882,36
335,0.030149254,9
312,0.032371795,12
280,0.036071429,16
278,0.036330935,17
268,0.037686567,11
301,0.033554817,4
388,0.026030928,5
290,0.034827586,18
340,0.030294118,11
286,0.035314685,15
333,0.03033033,19
552,0.018297101,14
530,0.019056604,12
346,0.029190751,9
296,0.034121622,7
364,0.027747253,6
448,0.022098214,18
260,0.039230769,14
294,0.034353741,14
307,0.032899023,18
301,0.033554817,7
279,0.036200717,12
307,0.032899023,5
285,0.035438596,6
384,0.027083333,23
358,0.028212291,14
446,0.02264574,10
648,0.01558642,13
276,0.036594203,4
296,0.034121622,11
331,0.030513595,38
357,0.028291317,12
288,0.035069444,11
257,0.039299611,17
269,0.037546468,10
302,0.033443709,13
273,0.036996337,10
299,0.033779264,14
335,0.030149254,11
328,0.030792683,22
303,0.033333333,8
314,0.032165605,13
288,0.035069444,11
325,0.031076923,17
526,0.019201521,12
528,0.019128788,15
307,0.032899023,8
292,0.034589041,14
290,0.034827586,17
350,0.028857143,16
321,0.031464174,7
310,0.032580645,9
299,0.033779264,14
312,0.032371795,17
290,0.034827586,11
299,0.033779264,11
310,0.032580645,4
316,0.031962025,4
337,0.029970326,25
297,0.034006734,15
325,0.031076923,10
360,0.028055556,11
543,0.018600368,12
409,0.024694377,17
296,0.034121622,8
306,0.033006536,12
321,0.031464174,12
329,0.030699088,14
301,0.033554817,15
343,0.029446064,18
289,0.034948097,9
301,0.033554817,14
310,0.032580645,11
324,0.03117284,5
339,0.02979351,7
345,0.029275362,18
322,0.03136646,8
308,0.032792208,13
341,0.029618768,16
619,0.01631664,19
487,0.02073922,8
311,0.032475884,12
298,0.033892617,9
308,0.032792208,15
331,0.030513595,8
319,0.031661442,14
301,0.033554817,14
293,0.03447099,15
306,0.033006536,16
311,0.032475884,15
307,0.032899023,8
312,0.032371795,15
304,0.033223684,10
318,0.031761006,18
293,0.03447099,6
289,0.034948097,4
531,0.019020716,5
433,0.023325635,25
324,0.03117284,15
325,0.031076923,16
314,0.032165605,8
296,0.034121622,11
292,0.034589041,10
290,0.034827586,6
299,0.033779264,5
314,0.032165605,20
303,0.033333333,9
290,0.034827586,16
300,0.033666667,15
326,0.030981595,16
298,0.033892617,10
308,0.032792208,12
304,0.033223684,11
799,0.012640801,20
999,0.01011011,16
336,0.030059524,11
316,0.031962025,5
317,0.031861199,22
315,0.032063492,14
340,0.029705882,16
302,0.033443709,10
308,0.032792208,13
319,0.031661442,11
295,0.034237288,15
289,0.034948097,9
338,0.029881657,11
308,0.032792208,9
315,0.032063492,14
292,0.034589041,4
275,0.036727273,4
789,0.012801014,31
516,0.019573643,18
292,0.034589041,10
338,0.029881657,19
282,0.035815603,5
314,0.032165605,8
312,0.032371795,24
315,0.032063492,16
302,0.033443709,14
328,0.030792683,23
291,0.034707904,15
314,0.032165605,15
288,0.035069444,7
304,0.033223684,4
313,0.032268371,6
304,0.033223684,14
328,0.030792683,8
765,0.013202614,21
517,0.019535783,27
311,0.032475884,20
328,0.030792683,11
290,0.034827586,12
300,0.033666667,10
328,0.030792683,21
302,0.033443709,10
301,0.033554817,11
360,0.028055556,10
311,0.032475884,14
328,0.030792683,13
306,0.033006536,7
293,0.03447099,4
304,0.033223684,5
298,0.033892617,25
307,0.032899023,15
477,0.021174004,11
521,0.019385797,11
321,0.031464174,4
312,0.032371795,15
318,0.031761006,23
329,0.030699088,20
306,0.033006536,6
319,0.031661442,6
269,0.037546468,7
322,0.03136646,21
283,0.035689046,9
302,0.033443709,10
292,0.034589041,8
277,0.036462094,15
301,0.033554817,13
297,0.034006734,16
299,0.033779264,8
306,0.033006536,15
478,0.021129707,11
545,0.01853211,18
296,0.034121622,9
275,0.036727273,14
302,0.033443709,9
316,0.031962025,14
295,0.034237288,5
327,0.03088685,5
303,0.033333333,26
284,0.03556338,11
308,0.032792208,12
297,0.034006734,28
303,0.033333333,9
292,0.034589041,14
300,0.033666667,9
277,0.036462094,15
317,0.031861199,17
348,0.029022989,16
336,0.030059524,7
753,0.013413015,19
349,0.028939828,11
304,0.033223684,17
276,0.036594203,8
287,0.035191638,4
314,0.032165605,7
313,0.032268371,22
281,0.03594306,16
300,0.033666667,20
297,0.034006734,10
303,0.033333333,11
279,0.036200717,10
317,0.031861199,17
295,0.034237288,10
275,0.036727273,11
294,0.034353741,10
311,0.032475884,16
318,0.031761006,13
800,0.012625,19
352,0.028693182,8
289,0.034948097,5
275,0.036727273,7
272,0.037132353,7
313,0.032268371,4
333,0.03033033,5
281,0.03594306,3
307,0.032899023,4
301,0.033554817,13
331,0.030513595,36
304,0.033223684,22
294,0.034353741,12
290,0.034827586,9
321,0.031464174,20
281,0.03594306,14
309,0.032686084,12
321,0.031464174,8
847,0.011924439,21
792,0.012752525,19
484,0.020867769,19
292,0.034589041,10
291,0.034707904,12
272,0.037132353,9
309,0.032686084,18
309,0.032686084,8
299,0.033779264,10
294,0.034353741,9
292,0.034589041,16
311,0.032475884,16
267,0.037827715,16
310,0.032580645,11
269,0.037546468,11
259,0.038996139,10
296,0.034121622,18
273,0.036996337,9
306,0.033006536,14
552,0.018297101,11
483,0.020910973,15
640,0.01578125,16
345,0.029275362,15
269,0.037546468,9
300,0.033666667,10
290,0.034827586,8
336,0.030059524,13
282,0.035815603,12
305,0.033114754,10
290,0.034827586,13
278,0.036330935,18
273,0.036996337,14
330,0.030606061,19
262,0.038549618,10
271,0.037269373,11
274,0.036861314,10
321,0.031464174,17
412,0.024514563,9
433,0.023325635,6
132,0.039393939,3
652,0.015337423,11
646,0.015634675,11
684,0.014766082,20
371,0.02722372,17
286,0.035314685,12
365,0.027671233,9
313,0.032268371,12
287,0.035191638,11
290,0.034827586,8
301,0.033554817,4
313,0.032268371,21
305,0.033114754,10
287,0.035191638,9
281,0.03594306,14
446,0.02264574,13
342,0.029532164,11
319,0.031661442,25
269,0.037546468,14
311,0.032475884,19
535,0.018878505,9
779,0.01296534,8
491,0.020570265,10
343,0.029446064,7
298,0.033892617,4
313,0.032268371,28
254,0.03976378,19
259,0.038996139,8
299,0.033779264,13
308,0.032792208,17
266,0.037969925,16
293,0.035153584,9
264,0.038257576,4
303,0.033333333,4
300,0.033666667,21
336,0.030059524,15
267,0.037827715,14
380,0.026578947,13
541,0.018669131,16
341,0.029618768,12
320,0.0315625,21
334,0.030239521,9
320,0.0315625,11
314,0.032165605,11
297,0.034006734,17
337,0.029970326,10
278,0.036330935,12
289,0.035294118,6
345,0.029275362,9
353,0.028611898,4
339,0.02979351,6
291,0.034707904,5
331,0.030513595,6
324,0.03117284,24
537,0.018808194,22
432,0.02337963,8
432,0.02337963,15
294,0.034353741,8
279,0.036200717,16
293,0.03447099,13
362,0.027900552,14
295,0.034237288,8
273,0.036996337,4
534,0.019101124,6
482,0.020954357,19
557,0.018491921,10
519,0.019460501,13
351,0.028774929,18
470,0.021489362,22
495,0.02040404,13
343,0.029446064,18
334,0.030239521,10
333,0.030930931,11
309,0.032686084,10
329,0.030699088,18
311,0.032475884,8
348,0.029022989,13
319,0.031661442,9
319,0.031661442,15
312,0.032371795,17
328,0.030182927,16
315,0.032380952,6
342,0.029532164,15
316,0.031962025,11
322,0.03136646,15
621,0.01626409,10
373,0.027077748,13
314,0.032165605,7
292,0.034589041,4
323,0.03126935,16
340,0.029705882,36
335,0.030149254,9
312,0.032371795,12
280,0.036071429,16
278,0.036330935,17
268,0.037686567,11
301,0.033554817,4
388,0.026030928,5
290,0.034827586,18
340,0.030294118,11
286,0.035314685,15
333,0.03033033,19
552,0.018297101,14
530,0.019056604,12
346,0.029190751,9
296,0.034121622,7
364,0.027747253,6
448,0.022098214,18
260,0.039230769,14
294,0.034353741,14
307,0.032899023,18
301,0.033554817,7
279,0.036200717,12
307,0.032899023,5
285,0.035438596,6
384,0.027083333,23
358,0.028212291,14
446,0.02264574,10
648,0.01558642,13
276,0.036594203,4
296,0.034121622,11
331,0.030513595,38
357,0.028291317,12
288,0.035069444,11
257,0.039299611,17
269,0.037546468,10
302,0.033443709,13
273,0.036996337,10
299,0.033779264,14
335,0.030149254,11
328,0.030792683,22
303,0.033333333,8
314,0.032165605,13
288,0.035069444,11
325,0.031076923,17
526,0.019201521,12
528,0.019128788,15
307,0.032899023,8
292,0.034589041,14
290,0.034827586,17
350,0.028857143,16
321,0.031464174,7
310,0.032580645,9
299,0.033779264,14
312,0.032371795,17
290,0.034827586,11
299,0.033779264,11
310,0.032580645,4
316,0.031962025,4
337,0.029970326,25
297,0.034006734,15
325,0.031076923,10
360,0.028055556,11
543,0.018600368,12
409,0.024694377,17
296,0.034121622,8
306,0.033006536,12
321,0.031464174,12
329,0.030699088,14
301,0.033554817,15
343,0.029446064,18
289,0.034948097,9
301,0.033554817,14
310,0.032580645,11
324,0.03117284,5
339,0.02979351,7
345,0.029275362,18
322,0.03136646,8
308,0.032792208,13
341,0.029618768,16
619,0.01631664,19
487,0.02073922,8
311,0.032475884,12
298,0.033892617,9
308,0.032792208,15
331,0.030513595,8
319,0.031661442,14
301,0.033554817,14
293,0.03447099,15
306,0.033006536,16
311,0.032475884,15
307,0.032899023,8
312,0.032371795,15
304,0.033223684,10
318,0.031761006,18
293,0.03447099,6
289,0.034948097,4
531,0.019020716,5
433,0.023325635,25
324,0.03117284,15
325,0.031076923,16
314,0.032165605,8
296,0.034121622,11
292,0.034589041,10
290,0.034827586,6
299,0.033779264,5
314,0.032165605,20
303,0.033333333,9
290,0.034827586,16
300,0.033666667,15
326,0.030981595,16
298,0.033892617,10
308,0.032792208,12
304,0.033223684,11
799,0.012640801,20
999,0.01011011,16
336,0.030059524,11
316,0.031962025,5
317,0.031861199,22
315,0.032063492,14
340,0.029705882,16
302,0.033443709,10
308,0.032792208,13
319,0.031661442,11
295,0.034237288,15
289,0.034948097,9
338,0.029881657,11
308,0.032792208,9
315,0.032063492,14
292,0.034589041,4
275,0.036727273,4
789,0.012801014,31
516,0.019573643,18
292,0.034589041,10
338,0.029881657,19
282,0.035815603,5
314,0.032165605,8
312,0.032371795,24
315,0.032063492,16
302,0.033443709,14
328,0.030792683,23
291,0.034707904,15
314,0.032165605,15
288,0.035069444,7
304,0.033223684,4
313,0.032268371,6
304,0.033223684,14
328,0.030792683,8
765,0.013202614,21
517,0.019535783,27
311,0.032475884,20
328,0.030792683,11
290,0.034827586,12
300,0.033666667,10
328,0.030792683,21
302,0.033443709,10
301,0.033554817,11
360,0.028055556,10
311,0.032475884,14
328,0.030792683,13
306,0.033006536,7
293,0.03447099,4
304,0.033223684,5
298,0.033892617,25
307,0.032899023,15
477,0.021174004,11
521,0.019385797,11
321,0.031464174,4
312,0.032371795,15
318,0.031761006,23
329,0.030699088,20
306,0.033006536,6
319,0.031661442,6
269,0.037546468,7
322,0.03136646,21
283,0.035689046,9
302,0.033443709,10
292,0.034589041,8
277,0.036462094,15
301,0.033554817,13
297,0.034006734,16
299,0.033779264,8
306,0.033006536,15
478,0.021129707,11
545,0.01853211,18
296,0.034121622,9
275,0.036727273,14
302,0.033443709,9
316,0.031962025,14
295,0.034237288,5
327,0.03088685,5
303,0.033333333,26
284,0.03556338,11
308,0.032792208,12
297,0.034006734,28
303,0.033333333,9
292,0.034589041,14
300,0.033666667,9
277,0.036462094,15
317,0.031861199,17
348,0.029022989,16
336,0.030059524,7
753,0.013413015,19
349,0.028939828,11
304,0.033223684,17
276,0.036594203,8
